[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	20,00	21,02 (5,00)	7,81	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	20,00	21,02 (5,00)	7,81	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	20,00	21,02 (5,00)	7,81	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	20,00	21,02 (5,00)	7,81	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	19,00	20,02 (4,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	19,00	20,02 (4,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	19,00	20,02 (4,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	19,00	20,02 (4,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	19,00	20,02 (4,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	18,00	19,02 (3,00)	8,97	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	18,00	19,02 (3,00)	8,97	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	18,00	19,02 (3,00)	8,97	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	18,00	19,02 (3,00)	8,97	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (1,00)	6,53	0,04	0,00], [(0,00) 2,02	19,00	21,02 (5,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (1,00)	6,53	0,04	0,00], [(0,00) 2,02	19,00	21,02 (5,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (1,00)	6,53	0,04	0,00], [(0,00) 2,02	19,00	21,02 (5,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (1,00)	6,53	0,04	0,00], [(0,00) 2,02	19,00	21,02 (5,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (1,00)	6,53	0,04	0,00], [(0,00) 2,02	19,00	21,02 (5,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (1,00)	6,53	0,04	0,00], [(0,00) 2,02	19,00	21,02 (5,00)	8,36	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (1,00)	6,53	0,04	0,00], [(0,00) 2,02	18,00	20,02 (4,00)	8,97	0,08	0,00]]
