[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (2,00)	4,82	0,38	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	3,86	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (1,00)	4,82	0,38	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	3,88	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (1,00)	4,82	0,38	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	3,88	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (1,00)	4,82	0,38	0,00], [(0,00) -6,98	23,00	16,02 (0,00)	4,70	3,11	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (0,00)	4,82	0,38	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	3,89	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (0,00)	4,82	0,38	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	3,89	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (0,00)	4,82	0,38	0,00], [(0,00) -5,98	24,00	18,02 (2,00)	4,66	3,89	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (0,00)	4,82	0,38	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	3,12	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (0,00)	4,82	0,38	0,00], [(0,00) -5,98	23,00	17,02 (1,00)	4,68	3,12	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	23,00	12,02 (0,00)	4,82	0,38	0,00], [(0,00) -5,98	22,00	16,02 (0,00)	4,70	2,37	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	22,00	11,02 (1,00)	4,85	1,15	0,00], [(0,00) -7,98	24,00	16,02 (0,00)	4,70	3,09	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	22,00	11,02 (0,00)	4,85	1,15	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	3,11	0,00]]
